No Urut,Peruntukan,Nama Persyaratan,Keterangan,Tipe File
5,PBG Non Rumah Tinggal Usaha Mikro,Surat Kuasa disertai KTP apabila dikuasakan,,pdf
6,PBG Non Rumah Tinggal Usaha Mikro,Akta pendirian dan/atau perubahannya bagi pemohon berbentuk badan hukum,,pdf
7,PBG Non Rumah Tinggal Usaha Mikro,Foto lokasi persil/bangunan yang diajukan PBG,,"pdf,jpg,jpeg,png"
8,PBG Non Rumah Tinggal Usaha Mikro,Rekomendasi Cagar Budaya apabila bangunan merupakan bangunan cagar budaya/berada dikawasan cagar budaya,,pdf
9,PBG Non Rumah Tinggal Usaha Mikro,Gambar rencana teknis bangunan berupa softfile dalam format Computer Aided Design (CAD) atau sketsa bangunan sekurang-kurangnya berupa gambar denah;,,dwg
10,PBG Non Rumah Tinggal Usaha Mikro,NIB dan SPPL,,pdf
11,PBG Non Rumah Tinggal Usaha Mikro,Rekomendasi drainase,sesuai dengan ketentuan yang berlaku;,pdf
12,PBG Non Rumah Tinggal Usaha Mikro,Rekomendasi lalu lintas,sesuai dengan ketentuan yang berlaku;,pdf
1,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,KRK dan/atau PBG yang telah diterbitkan sebelumnya,PBG beserta lampiran gambar PBG yang telah diterbitkan sebelumnya jika bangunan telah memiliki PBG;,pdf
2,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,NIK pemohon,"NIK Pemohon dan/atau pemilik tanah atau akta pendirian badan hukum dan/atau perubahannya apabila PBG diatasnamakan badan hukum, apabila nama pemohon dan/atau pemilik tanah tidak sesuai dengan KRK/PBG lama/SPPL/Persetujuan Lingkungan/dokumen rekomendasi teknis yang telah diterbitkan sebelumnya maka pemohon harus melampirkan data NIK dan akta pendirian perusahaan jika diatasnamakan badan usaha",pdf
3,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,Bukti kepemilikan hak atas tanah,1. sertipikat hak atas tanah; atau 2. bukti penguasaan atas tanah antara lain: a) petok/letter C; b) girik; c) akta jual beli; d) ikatan jual beli disertai dengan tanda bukti lunas; dan/atau e) bukti kepemilikan hak lainnya sesuai dengan peraturan perundang-undangan di bidang pertanahan yang dapat dilengkapi dengan bukti peralihan hak atas tanah sesuai peraturan perundang-undangan atau tanda bukti perjanjian pemanfaatan tanah dan surat persetujuan dari pemilik tanah apabila nama pemilik dalam bukti kepemilikan tanah berbeda dengan nama pemohon;,pdf
4,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,SPTJM PBG,,pdf
5,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,Surat Kuasa disertai KTP apabila dikuasakan,,pdf
6,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,Akta pendirian dan/atau perubahannya bagi pemohon berbentuk badan hukum,,pdf
7,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,Foto lokasi persil/bangunan yang diajukan PBG,,"pdf,jpg,jpeg,png"
8,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,Rekomendasi Cagar Budaya apabila bangunan merupakan bangunan cagar budaya/berada dikawasan cagar budaya,,pdf
9,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,"Gambar rencana teknis bangunan berupa softfile dalam format Computer Aided Design (CAD) sekurang kurangnya berupa gambar denah, dan dapat ditambahkan : && 1. gambar tampak; && 2. gambar atap; atau && 3. gambar potongan;",,dwg
10,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,Rekomendasi dokumen lingkungan,sesuai dengan ketentuan yang berlaku;,pdf
11,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,Rekomendasi drainase,sesuai dengan ketentuan yang berlaku;,pdf
12,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,Rekomendasi lalu lintas,sesuai dengan ketentuan yang berlaku;,pdf
13,PBG Non Rumah Tinggal Non Usaha Mikro Sederhana,"BAST Administrasi/Fisik PSU, untuk permohonan yang diajukan pengembang",,pdf
1,PBG Rumah Tinggal Tidak Sederhana,KRK dan/atau PBG yang telah diterbitkan sebelumnya,PBG beserta lampiran gambar PBG yang telah diterbitkan sebelumnya jika bangunan telah memiliki PBG;,pdf
2,PBG Rumah Tinggal Tidak Sederhana,NIK pemohon,"NIK Pemohon dan/atau pemilik tanah atau akta pendirian badan hukum dan/atau perubahannya apabila PBG diatasnamakan badan hukum, apabila nama pemohon dan/atau pemilik tanah tidak sesuai dengan KRK/PBG lama/SPPL/Persetujuan Lingkungan/dokumen rekomendasi teknis yang telah diterbitkan sebelumnya maka pemohon harus melampirkan data NIK dan akta pendirian perusahaan jika diatasnamakan badan usaha",pdf
3,PBG Rumah Tinggal Tidak Sederhana,Bukti kepemilikan hak atas tanah,1. sertipikat hak atas tanah; atau 2. bukti penguasaan atas tanah antara lain: a) petok/letter C; b) girik; c) akta jual beli; d) ikatan jual beli disertai dengan tanda bukti lunas; dan/atau e) bukti kepemilikan hak lainnya sesuai dengan peraturan perundang-undangan di bidang pertanahan yang dapat dilengkapi dengan bukti peralihan hak atas tanah sesuai peraturan perundang-undangan atau tanda bukti perjanjian pemanfaatan tanah dan surat persetujuan dari pemilik tanah apabila nama pemilik dalam bukti kepemilikan tanah berbeda dengan nama pemohon;,pdf
4,PBG Rumah Tinggal Tidak Sederhana,SPTJM PBG,,pdf
5,PBG Rumah Tinggal Tidak Sederhana,Surat Kuasa disertai KTP apabila dikuasakan,,pdf
6,PBG Rumah Tinggal Tidak Sederhana,Akta pendirian dan/atau perubahannya bagi pemohon berbentuk badan hukum,,pdf
7,PBG Rumah Tinggal Tidak Sederhana,Foto lokasi persil/bangunan yang diajukan PBG,,"pdf,jpg,jpeg,png"
8,PBG Rumah Tinggal Tidak Sederhana,Rekomendasi Cagar Budaya apabila bangunan merupakan bangunan cagar budaya/berada dikawasan cagar budaya,,pdf
9,PBG Rumah Tinggal Tidak Sederhana,Gambar format CAD atau sketsa bangunan sekurang-kurangnya gambar denah,,dwg
1,PBG Non Rumah Tinggal Melalui TPA,KRK dan/atau PBG yang telah diterbitkan sebelumnya,PBG beserta lampiran gambar PBG yang telah diterbitkan sebelumnya jika bangunan telah memiliki PBG;,pdf
2,PBG Non Rumah Tinggal Melalui TPA,NIK pemohon,"NIK Pemohon dan/atau pemilik tanah atau akta pendirian badan hukum dan/atau perubahannya apabila PBG diatasnamakan badan hukum, apabila nama pemohon dan/atau pemilik tanah tidak sesuai dengan KRK/PBG lama/SPPL/Persetujuan Lingkungan/dokumen rekomendasi teknis yang telah diterbitkan sebelumnya maka pemohon harus melampirkan data NIK dan akta pendirian perusahaan jika diatasnamakan badan usaha",pdf
